branch,behind,ahead,status,action
2nrv7t-codex/add-pre-commit-configuration-with-setup-instructions,160,1,conflict,manual
52xd86-codex/modify-build_installer.ps1-for-dual-architecture,175,1,conflict,manual
origin,0,0,rebase_ok,pushed
b05s9t-codex/add-uninstall-method-to-plugin-manager,180,1,conflict,manual
codex/add-cancel-button-to-installer-gui,180,1,conflict,manual
codex/add-file-size-and-extension-handling,180,1,conflict,manual
codex/add-heartbeat-and-reconnection-logic,180,1,conflict,manual
codex/add-logging-to-system_info-exception-handlers,180,1,conflict,manual
codex/add-migrate_keys-function-in-api_keys.py,175,1,rebase_ok,pushed
codex/add-pre-commit-configuration-with-setup-instructions,160,1,conflict,manual
codex/add-progress-dialog-for-plugin-installation,175,1,conflict,manual
codex/add-save-and-load-methods-for-permissions,180,1,conflict,manual
codex/add-stale.yml-workflow-and-documentation,156,1,conflict,manual
codex/add-uninstall-method-to-plugin-manager,180,1,conflict,manual
codex/add-unregister-methods-to-input-manager,180,1,conflict,manual
codex/add-zeroconf-adapter-implementation,180,1,conflict,manual
codex/check-for-nssm-and-pwsh-in-snapshot.restore,175,1,rebase_ok,pushed
codex/create-pull-request-template-and-contrib-docs,159,1,conflict,manual
codex/enhance-download_model-with-retries-and-timeout,180,1,conflict,manual
codex/enhance-install.ps1-for-version-logging,175,1,conflict,manual
codex/enhance-install.ps1-with-logging-and-fallback,180,1,conflict,manual
codex/extend-download_selected_model-for-speed-tracking,180,1,conflict,manual
codex/extend-ecoscheduler-to-support-multiple-time-windows,180,1,conflict,manual
codex/extract-strings-for-localization,180,1,conflict,manual
codex/implement-cloudbackend-methods-with-http-calls,180,1,conflict,manual
codex/implement-model.generate-and-update-guicore,180,1,conflict,manual
codex/import-components-and-implement-login-process,180,1,conflict,manual
codex/introduce-local-llm-module-and-refactor-code,180,1,conflict,manual
codex/modify-analyze_processes-to-include-metrics,180,1,conflict,manual
codex/modify-build_installer.ps1-for-dual-architecture,175,0,rebase_ok,pushed
codex/modify-file-store-to-track-service-names,175,1,rebase_ok,pushed
codex/remove-dest_path-on-checksum-failure,180,1,conflict,manual
codex/replace-xor-with-hmac-authenticated-encryption,180,1,conflict,manual
codex/set-up-release-drafter-configuration,156,1,conflict,manual
codex/update-build_installer.ps1-for-signing,175,1,conflict,manual
codex/update-readme.md-with-coverage-badge,180,1,conflict,manual
codex/validate-vram_var-and-ram_var-in-installer,180,1,conflict,manual
codex/verify-exit-codes-after-removal-commands,175,1,rebase_ok,pushed
nzzsyx-codex/add-uninstall-method-to-plugin-manager,180,1,conflict,manual
opkmd6-codex/extend-ecoscheduler-to-support-multiple-time-windows,180,1,conflict,manual
sb9amw-codex/extend-ecoscheduler-to-support-multiple-time-windows,180,1,conflict,manual
test-chatgpt-review,167,1,conflict,manual
ukcr0i-codex/add-pre-commit-configuration-with-setup-instructions,160,1,conflict,manual
merged_branches,,,,
merged,codex/modify-build_installer.ps1-for-dual-architecture,,,
merged,origin,,,
